shot_ID,tag,val,val_str
241,is_off_dodge,0,NULL
241,is_right_handed,0,NULL
241,shot_quality,3,NULL
241,clean_save,0,NULL
241,def_scheme,NULL,zone
242,field_loc_x,0.693415,NULL
242,field_loc_y,0.611562,NULL
242,goal_loc_x,0.492697,NULL
242,goal_loc_y,0.171562,NULL
242,def_scheme,NULL,zone
242,is_transition,0,NULL
242,is_off_dodge,0,NULL
242,is_right_handed,0,NULL
242,shot_quality,3,NULL
242,clean_save,0,NULL
243,field_loc_x,0.362413,NULL
243,field_loc_y,0.326562,NULL
243,goal_loc_x,0.0869914,NULL
243,goal_loc_y,0.436563,NULL
243,def_scheme,NULL,zone
243,is_transition,0,NULL
243,is_off_dodge,0,NULL
243,is_right_handed,1,NULL
243,shot_quality,3,NULL
244,def_scheme,NULL,zone
244,is_transition,0,NULL
244,is_off_dodge,0,NULL
244,is_right_handed,0,NULL
244,shot_quality,3,NULL
244,clean_save,1,NULL
244,field_loc_x,0.602313,NULL
244,field_loc_y,0.321562,NULL
244,goal_loc_x,0.644225,NULL
244,goal_loc_y,0.616562,NULL
245,field_loc_x,0.362413,NULL
245,field_loc_y,0.436563,NULL
245,goal_loc_x,0.297176,NULL
245,goal_loc_y,0.311563,NULL
245,def_scheme,NULL,zone
245,is_transition,0,NULL
245,is_off_dodge,0,NULL
245,is_right_handed,1,NULL
245,shot_quality,2,NULL
246,field_loc_x,0.213614,NULL
246,field_loc_y,0.521563,NULL
246,goal_loc_x,0.922842,NULL
246,goal_loc_y,0.636563,NULL
246,def_scheme,NULL,zone
246,is_transition,0,NULL
246,is_off_dodge,1,NULL
246,is_right_handed,1,NULL
246,shot_quality,3,NULL
247,field_loc_x,0.693415,NULL
247,field_loc_y,0.411563,NULL
247,goal_loc_x,0.458481,NULL
247,goal_loc_y,0.921562,NULL
247,def_scheme,NULL,zone
247,is_transition,0,NULL
247,is_off_dodge,0,NULL
247,is_right_handed,0,NULL
247,shot_quality,2,NULL
248,field_loc_x,0.432257,NULL
248,field_loc_y,0.741562,NULL
248,goal_loc_x,0.717545,NULL
248,goal_loc_y,0.506562,NULL
248,def_scheme,NULL,man
248,is_transition,0,NULL
248,is_off_dodge,0,NULL
248,is_right_handed,1,NULL
248,shot_quality,1,NULL
249,goal_loc_x,0.130984,NULL
249,goal_loc_y,0.916562,NULL
249,field_loc_x,0.663047,NULL
249,field_loc_y,0.621562,NULL
249,def_scheme,NULL,zone
